"Power Curve - Friends, Series A"

[Amplitude] Any Active Event

Segment,Date,Users,1 day,2 days,3 days,4 days,5 days,6 days,7 days
All Users,"Apr 20, 2026",93892,31573,20491,14463,12873,14488,3,1
All Users,"Apr 13, 2026",123105,37609,23317,16546,12604,10083,8931,14015
All Users,"Apr 06, 2026",119867,37708,22424,15610,11766,9702,8911,13746
1 Friend Added,"Apr 20, 2026",79147,22593,16919,13156,12276,14199,3,1
1 Friend Added,"Apr 13, 2026",98350,23626,17561,13922,11321,9488,8636,13796
1 Friend Added,"Apr 06, 2026",94769,22990,16779,13085,10570,9179,8603,13563
10 Friends Added,"Apr 20, 2026",51851,12871,9961,8733,8898,11384,3,1
10 Friends Added,"Apr 13, 2026",62432,12513,9793,8318,7343,6688,6405,11372
10 Friends Added,"Apr 06, 2026",60555,12120,9400,7860,6828,6497,6497,11353
50 Friends Added,"Apr 20, 2026",23336,5243,4012,3678,4187,6215,1,0
50 Friends Added,"Apr 13, 2026",27501,4799,3749,3310,3056,3020,3083,6484
50 Friends Added,"Apr 06, 2026",27260,4838,3795,3117,2865,2976,3162,6507
